transaction_id,amount,category,description,transaction_date,merchant,transaction_type
39,80,Dining Out,Dinner with family,2024-02-08T00:00:00+00:00,Local Restaurant,Debit
40,100,Utilities,Electricity bill payment,2024-02-09T00:00:00+00:00,Utility Company,Debit
41,1000,Income,Freelance work payment,2024-02-10T00:00:00+00:00,Client,Credit
42,70,Shopping,Clothing purchase,2024-02-11T00:00:00+00:00,Retail Store,Debit
43,50,Groceries,Weekly shopping,2024-02-12T00:00:00+00:00,Local Supermarket,Debit
44,30,Entertainment,Movie night,2024-02-13T00:00:00+00:00,Local Cinema,Debit
45,200,Healthcare,Dental checkup copay,2024-02-14T00:00:00+00:00,Dental Clinic,Debit
46,350,Income,Monthly salary,2024-02-15T00:00:00+00:00,Employer,Credit
47,40,Groceries,Weekly shopping,2024-02-16T00:00:00+00:00,Local Market,Debit
48,150,Transportation,Monthly public transportation pass,2024-02-17T00:00:00+00:00,Transit Authority,Debit
49,100,Healthcare,Prescription medicines,2024-02-18T00:00:00+00:00,Local Pharmacy,Debit
50,50,Dining Out,Lunch with friends,2024-02-19T00:00:00+00:00,Cafe,Debit
51,700,Income,Freelance work payment,2024-02-20T00:00:00+00:00,Client,Credit
52,200,Groceries,Weekly shopping,2024-02-21T00:00:00+00:00,Local Supermarket,Debit
53,80,Dining Out,Dinner with family,2024-02-22T00:00:00+00:00,Local Restaurant,Debit
54,50,Groceries,Weekly shopping,2024-02-23T00:00:00+00:00,Local Market,Debit
55,100,Utilities,Internet bill payment,2024-02-24T00:00:00+00:00,Internet Provider,Debit
56,200,Income,Monthly salary,2024-02-25T00:00:00+00:00,Employer,Credit
57,70,Shopping,Clothing purchase,2024-02-26T00:00:00+00:00,Retail Store,Debit
58,200,Transportation,Monthly fuel expenses,2024-02-27T00:00:00+00:00,Local Gas Station,Debit
59,150,Groceries,Weekly shopping,2024-02-28T00:00:00+00:00,Local Supermarket,Debit
60,100,Healthcare,Doctor's visit copay,2024-02-29T00:00:00+00:00,Medical Clinic,Debit
61,100,Income,Freelance work payment,2024-03-01T00:00:00+00:00,Client,Credit
62,200,Groceries,Weekly shopping,2024-03-02T00:00:00+00:00,Local Supermarket,Debit
63,100,Shopping,Clothing purchase,2024-03-03T00:00:00+00:00,Retail Store,Debit
64,80,Dining Out,Lunch with colleagues,2024-03-04T00:00:00+00:00,Local Restaurant,Debit
65,50,Transportation,Fuel for car,2024-03-05T00:00:00+00:00,Local Gas Station,Debit
66,300,Investment,Stocks investment,2024-03-06T00:00:00+00:00,Investment Firm,Debit
67,200,Healthcare,Doctor's visit copay,2024-03-07T00:00:00+00:00,Medical Clinic,Debit
68,150,Groceries,Weekly shopping,2024-03-08T00:00:00+00:00,Local Market,Debit
69,80,Dining Out,Dinner with family,2024-03-09T00:00:00+00:00,Local Restaurant,Debit
70,100,Utilities,Electricity bill payment,2024-03-10T00:00:00+00:00,Utility Company,Debit
71,600,Income,Freelance work payment,2024-03-11T00:00:00+00:00,Client,Credit
72,70,Shopping,Clothing purchase,2024-03-12T00:00:00+00:00,Retail Store,Debit
73,50,Groceries,Weekly shopping,2024-03-13T00:00:00+00:00,Local Supermarket,Debit
74,30,Entertainment,Movie night,2024-03-14T00:00:00+00:00,Local Cinema,Debit
75,200,Healthcare,Dental checkup copay,2024-03-15T00:00:00+00:00,Dental Clinic,Debit
76,650,Income,Monthly salary,2024-03-16T00:00:00+00:00,Employer,Credit
77,70,Shopping,Clothing purchase,2024-03-17T00:00:00+00:00,Retail Store,Debit
78,200,Transportation,Monthly fuel expenses,2024-03-18T00:00:00+00:00,Local Gas Station,Debit
79,150,Groceries,Weekly shopping,2024-03-19T00:00:00+00:00,Local Supermarket,Debit
80,100,Healthcare,Doctor's visit copay,2024-03-20T00:00:00+00:00,Medical Clinic,Debit
81,630,Income,Freelance work payment,2024-03-21T00:00:00+00:00,Client,Credit
82,200,Groceries,Weekly shopping,2024-03-22T00:00:00+00:00,Local Supermarket,Debit
83,100,Shopping,Clothing purchase,2024-03-23T00:00:00+00:00,Retail Store,Debit
84,80,Dining Out,Lunch with colleagues,2024-03-24T00:00:00+00:00,Local Restaurant,Debit
85,50,Transportation,Fuel for car,2024-03-25T00:00:00+00:00,Local Gas Station,Debit
86,300,Investment,Stocks investment,2024-03-26T00:00:00+00:00,Investment Firm,Debit
87,200,Healthcare,Doctor's visit copay,2024-03-27T00:00:00+00:00,Medical Clinic,Debit
88,150,Groceries,Weekly shopping,2024-03-28T00:00:00+00:00,Local Market,Debit
89,80,Dining Out,Dinner with family,2024-03-29T00:00:00+00:00,Local Restaurant,Debit
90,100,Utilities,Electricity bill payment,2024-03-30T00:00:00+00:00,Utility Company,Debit
